DATE,V2Tone,V2Organizations
20201119153000,"12.5444839857651,13.0782918149466,0.533807829181495,13.6120996441281,20.5516014234875,0.0889679715302491,1098","Tommy,4638;Tommy,5744;British Army,2595;Supervalu,413;Supervalu,4845;Centre For Sustainable Energy,2812;Centre For Sustainable Energy,3725;Express,4005;Qatar Football Association,4928;Data Institute,7256;Arc Theatre Ltd,2661;Lauder Companies,5334;Lauder Companies,8228;Design Museum,6693;Skills Builder Partnership,4259;Macquarie Group,7475;Deutsche Bank,6673;Aurora Healthcare Communications,5585;Aurora Healthcare Communications,7667;Alzheimer Research United Kingdom,7429;Cancer Research United Kingdom,5161;Cancer Research United Kingdom,6165;Saints Foundation,6029;Smart Energy,7291;Guildhall School Of Music Drama,2018;Guildhall School Of Music Drama,5541;University Of Lancaster,2776;University Of Lancaster,3689;Virgin Media,2138;Threshold Sports Ltd,3485;Dog Institute,5183;Dog Institute,6187;Lloyds Banking Group,3854;Barclays,6377;Barclays,8026;Enval Ltd,5690;Center Parcs United Kingdom,4747;Samsung Electronics United Kingdom,2750;Samsung Electronics United Kingdom,3663;Cornwall Council,5033;Department For Business,2842;Department For Business,3755;Forest Stewardship Council,3092;Hyperion Insurance Group,5128;Hyperion Insurance Group,6132;Unilever,2320;Unilever,5772;Unilever,6086;Heathrow Airport Ltd,4071;Heathrow Airport Ltd,8260;Raleigh International,1230;Raleigh International,8153;Communications Association,6901;Natura Co,6785;Durham College,1984;Durham College,5507"
20201119160000,"1.04166666666667,2.5219298245614,1.48026315789474,4.00219298245614,23.6842105263158,0.328947368421053,1649","Houlder Ltd,7950;Royal Caribbean,8909;Bureau Veritas,9051;Carnival Corporation Diamond Princess,6234;Lloyds Register Ship Performance Team,5486;Panama Canal Authority,9160;Shell,5275;Shell,5305;Shell,6740;Shell,7168;Shell,8917;Maersk,8874;Global Industry Alliance,8499;Global Industry Alliance,8578;Grimaldi Group,6408"
20201121080000,"0.7627765064836,2.36460717009916,1.60183066361556,3.96643783371472,27.9176201372998,1.37299771167048,1246","Innovative Retail Development,4472;Coventry City Council,4075;Lloyds Bank,936;Lloyds Bank,2861"
20201122111500,"-2.77136258660508,2.61739799846035,5.38876058506543,8.00615858352579,23.941493456505,0.46189376443418,1223","Boeing,3715;Boeing,4845;Boeing,4879;Boeing,5330;Grant County International Airport In Moses Lake,4942;Ryanair,4045;Natwest,957;Bmw,5636;Bmw,5872;Bmw,6621;Bmw,6926;Bmw,7551;Us Senate,3836;Lloyds Banking Group,936;Barclays,947"
20201121134500,"-7.95660036166365,1.80831826401447,9.76491862567812,11.5732368896926,26.0397830018083,0,497","Tesco,700;Rolex,147;Rolex,344;Rolex,1807;Norco Holdings,219;Rover,387;Rover,1737;Lloyds Bank,1067;Lloyds Bank,2007;Bournemouth Crown Court,656;Natwest,1034;Natwest,1045"
20201121140000,"-1.43540669856459,3.15789473684211,4.5933014354067,7.7511961722488,27.4641148325359,1.81818181818182,955","Mental Health,5626;Mental Health,5675;Mental Health,5783;Lloyds Bank,185;Lloyds Bank,443;Lloyds Bank,1308;Lloyds Bank,2225;Lloyds Bank,2339;Lloyds Bank,2921;Lloyds Bank,3239;Lloyds Bank,3851;Lloyds Bank,3898;Lloyds Bank,4489;Lloyds Bank,4847;Lloyds Bank,5144;Lloyds Bank,5594;Lloyds Bank,5833;Mental Health United Kingdom,5641"
20201119161500,"1.67910447761194,2.61194029850746,0.932835820895522,3.54477611940298,16.6044776119403,0,426","Canaccord Genuity,2554;Company Directors,323;Lloyds Banking Group,3196;Building Society,3232;Nationwide Building Society,3232"
20201119164500,"-1.69491525423729,0,1.69491525423729,1.69491525423729,25.4237288135593,0,48","Lloyds Banking Group,247;Lloyds Bank,39"
20201119164500,"-1.69491525423729,0,1.69491525423729,1.69491525423729,25.4237288135593,0,48","Lloyds Banking Group,247;Lloyds Bank,39"
20201119164500,"-3.69515011547344,0,3.69515011547344,3.69515011547344,24.7113163972286,0.23094688221709,396","Banking Group,224;Banking Group,467;Reuters,2405;Union National,1127;Lloyds Banking Group,224;Lloyds Group,982;Lloyds Bank,14;Banco Santander,1809;Banco Santander,2066"
20201119164500,"-0.636942675159236,0.955414012738854,1.59235668789809,2.54777070063694,17.1974522292994,0,258","Office Hours Call,1717;Office Hours Call,1807;Young,999;Leeds Building Society,1407;Natwest,1143;Skipton Building Society,1353;Lloyds Bank,1157;Coventry Building Society,1190;Barclays,1121;Royal Bank,1264"
20201119164500,"1.1070110701107,2.9520295202952,1.8450184501845,4.7970479704797,20.2952029520295,0,223","Office Hours Call,1588;Office Hours Call,1678;Leeds Building Society,1278;Natwest,1014;Skipton Building Society,1224;Lloyds Bank,1028;Coventry Building Society,1061;Barclays,992;Royal Bank,1135"
20201119161500,"-2.38095238095238,0,2.38095238095238,2.38095238095238,21.4285714285714,0,39","Lloyds Bank,143"
20201122003000,"-0.737100737100737,2.21130221130221,2.94840294840295,5.15970515970516,28.009828009828,0,360","Tesco Bank,223;Royal Mail,276;Lloyds Bank,502;Barclays,210;Natwest,329"
20201122003000,"-0.863930885529158,1.72786177105832,2.59179265658747,4.31965442764579,27.645788336933,0,408","Investment Association,2262;Lloyds Banking Group,32;High Pay Centre,2128"
20201122024500,"-0.863930885529158,1.72786177105832,2.59179265658747,4.31965442764579,27.645788336933,0,408","Investment Association,2262;Lloyds Banking Group,32;High Pay Centre,2128"
20201122021500,"-0.737100737100737,2.21130221130221,2.94840294840295,5.15970515970516,28.009828009828,0,360","Tesco Bank,223;Royal Mail,276;Lloyds Bank,502;Barclays,210;Natwest,329"
20201122053000,"-3.09892729439809,3.3373063170441,6.43623361144219,9.77353992848629,27.4135876042908,3.69487485101311,766","Google,2758;Twitter,3028;Twitter,3090;Facebook,2487;Facebook,2570;Advertising Standards Authority,4048;Lloyds Bank,375;Lloyds Bank,1682;Lloyds Bank,4117"
20201121211500,"-1.66666666666667,1.66666666666667,3.33333333333333,5,18.3333333333333,0,46","Lloyds Banking Group,268"
20201121211500,"-1.66666666666667,1.66666666666667,3.33333333333333,5,18.3333333333333,0,46","Lloyds Banking Group,268"
20201121211500,"2.53456221198157,3.68663594470046,1.15207373271889,4.83870967741935,21.6589861751152,0.230414746543779,390","Partnership Fund For New York,1161;Partnership Fund For New York,2720;Company Ctos,1520;Innovation Lab,537;Innovation Lab,2541;Fintech Innovation Lab,537;Accenture,1125;Lloyds Banking Group,243;Fintech Lab,1755;Partnership Fund For New York City,1166"
20201121220000,"0,2.5,2.5,5,23.8888888888889,3.33333333333333,328","New York Times,587;Fantasy Fund,2052;Lloyds Bank,1460;Greencoat Renewables,242;Greencoat Renewables,1214"
20201122150000,"5.44871794871795,6.41025641025641,0.961538461538462,7.37179487179487,23.0769230769231,3.2051282051282,291","Lloyds Bank,235"
